h_type,epsilon,k,gamma_0,status,delta_Im,delta_pred_Im,delta_Im_error,Z_prime,inv_abs_Z_prime,h0,C_where,C_where_pred,spacing_prev,spacing_next,local_spacing,residual_abs
h=1,1e-06,1,740.573807447,ok,4.778105449076975e-07,4.775158583481414e-07,2.94686559556122e-10,-2.094171287754243,0.4775158583481414,1.0,0.4778105449076975,0.4775158583481414,,142.85652439199998,142.85652439199998,8.246965275905753e-29
h=1,1e-06,2,883.430331839,ok,5.046975957156974e-07,5.049958053895587e-07,2.982096738612807e-10,-1.9802144677787774,0.5049958053895587,1.0,0.5046975957156974,0.5049958053895587,142.85652439199998,175.70343726800002,142.85652439199998,3.847899826981693e-29
h=1,1e-06,3,1059.133769107,ok,-1.4998613551142626e-07,-1.498833330701988e-07,1.0280244122746345e-10,6.6718558996259025,0.1498833330701988,1.0,-0.14998613551142626,-0.1498833330701988,175.70343726800002,192.52606289699997,175.70343726800002,3.487422872298643e-28
h=1,1e-06,4,1251.659832004,ok,-1.2195187082397752e-07,-1.2222311806155198e-07,2.7124723757446323e-10,8.18175821284805,0.122223118061552,1.0,-0.12195187082397752,-0.122223118061552,192.52606289699997,381.138351567,192.52606289699997,7.919205729476146e-28
h=1,1e-06,5,1632.798183571,ok,2.0105107978451997e-07,2.0134221537166664e-07,2.9113558714666807e-10,-4.96666830726013,0.20134221537166663,1.0,0.20105107978451997,0.20134221537166663,381.138351567,151.809762826,151.809762826,4.543840945009187e-28
h=1,1e-06,6,1784.607946397,ok,8.488314051646739e-08,8.527049391813329e-08,3.8735340166589436e-10,-11.727386040006786,0.0852704939181333,1.0,0.08488314051646739,0.0852704939181333,151.809762826,39.15831949900007,39.15831949900007,2.1939580581718996e-28
h=1,1e-06,7,1823.766265896,ok,-1.1252359399804845e-07,-1.1229673145514265e-07,2.2686254290580228e-10,8.904978684971375,0.11229673145514266,1.0,-0.11252359399804845,-0.11229673145514266,39.15831949900007,19.10968938299993,19.10968938299993,1.3181997091968591e-28
h=1,1e-06,8,1842.875955279,ok,1.9698950382007752e-07,1.9732225157161805e-07,3.3274775154053313e-10,-5.067852165862045,0.19732225157161806,1.0,0.19698950382007752,0.19732225157161806,19.10968938299993,716.3583413180002,19.10968938299993,2.0155588382848917e-28
h=1,1e-06,9,2559.234296597,ok,5.224105734669138e-07,5.220773248938622e-07,3.332485730515974e-10,-1.9154250765502965,0.5220773248938622,1.0,0.5224105734669138,0.5220773248938622,716.3583413180002,211.04479704699997,211.04479704699997,2.19706543140892e-28
h=1,1e-06,10,2770.279093644,ok,-3.172308424836956e-07,-3.165737579910264e-07,6.570844926692137e-10,3.1588215218658333,0.3165737579910264,1.0,-0.3172308424836956,-0.3165737579910264,211.04479704699997,225.26117327199972,211.04479704699997,2.2601612248062557e-29
