k,Im_rho_0,Re_eps,Im_eps,delta_Re,delta_Im,Ck_Re,Ck_Im
1,88.809111208,0.5000042139033549,88.8091129020022,4.2139033549215554e-06,1.6940021936306948e-06,0.5060859438394122,0.2034481161102909
2,101.317851006,0.5000047343115087,101.31785302582811,4.734311508713951e-06,2.0198281163175125e-06,0.5685864877558147,0.24257951180728002
3,111.029535543,0.500005473543196,111.02953272372766,5.4735431960217795e-06,-2.819272339138479e-06,0.6573675381684311,-0.3385920327353604
4,146.000982487,0.5000069153976874,146.00098255051535,6.915397687379254e-06,6.35153583061765e-08,0.8305329455538425,0.007628136516025572
5,161.188964138,0.5000052416782645,161.18896248286973,5.241678264544802e-06,-1.6551302621792274e-06,0.6295207716893808,-0.19877963264958204
6,214.547044783,0.5000068488141897,214.54704654860714,6.8488141896638766e-06,1.7656071520377736e-06,0.8225363282972885,0.21204780620918803
7,317.734805942,0.5000154871990465,317.73480502232843,1.5487199046537725e-05,-9.196715495818353e-07,1.8599984590870609,-0.11045171305335792
8,339.858216725,0.5000092824190456,339.8582141860436,9.282419045630874e-06,-2.5389563802491466e-06,1.1148100485822574,-0.3049263421204891
9,341.042261111,0.5000100308469899,341.0422599175613,1.0030846989916853e-05,-1.193438720292761e-06,1.2046955610578542,-0.1433309001898326
10,393.427743844,0.5000080871083818,393.4277482906689,8.087108381849006e-06,4.446668867785775e-06,0.971254329689264,0.5340408693204561
11,562.559207616,0.5000177428635552,562.5592093798521,1.7742863555159083e-05,1.7638520830587368e-06,2.1309017061910644,0.21183702402793042
12,573.614610527,0.5000120106363322,573.6146108768268,1.2010636332160374e-05,3.498267915347242e-07,1.442466452671284,0.042013878122617726
13,581.946576266,0.500012171400444,581.9465761477037,1.2171400443961033e-05,-1.1829627055703895e-07,1.4617740756525084,-0.01420727403907345
14,590.660397517,0.5000121830152433,590.6603921073862,1.2183015243305562e-05,-5.409613777374034e-06,1.4631690024445325,-0.6496896733835963
15,699.132095476,0.5000149623231364,699.1320929679791,1.4962323136358258e-05,-2.508020884306461e-06,1.7969613417095336,-0.3012110173150426
16,718.742786545,0.5000133517274954,718.7427856848406,1.335172749539204e-05,-8.601593890489312e-07,1.6035302763885766,-0.10330435693327954
17,721.351162219,0.5000126901414423,721.3511573192186,1.2690141442339709e-05,-4.899781401945802e-06,1.5240743957265452,-0.5884592707885444
18,737.052928912,0.5000125860639527,737.0529316527114,1.2586063952713111e-05,2.7407114657762577e-06,1.5115747842894212,0.3291569436040606
19,740.573807447,0.5000146905217139,740.5738138440848,1.469052171387819e-05,6.397084803211328e-06,1.7643182391400205,0.7682840416054662
20,758.900238225,0.5000145081883135,758.9002449915148,1.4508188313500092e-05,6.766514843548066e-06,1.7424201643025834,0.8126522520030989
21,764.307522724,0.5000115164616236,764.3075336668247,1.1516461623561902e-05,1.0942824701487552e-05,1.3831165215603747,1.3142232511938223
22,782.597943946,0.5000120990416743,782.5979611343063,1.20990416743183e-05,1.7188306287607702e-05,1.4530838535127595,2.0642998849048784
23,829.437010968,0.5000137132161012,829.4370125418701,1.3713216101218784e-05,1.573870122228982e-06,1.6469447277554676,0.18902036406663936
24,882.386696627,0.5000126065100942,882.3866909761092,1.2606510094159695e-05,-5.650890784636431e-06,1.5140303472011294,-0.6786668215672456
25,883.430331839,0.5000150956174532,883.4303267603489,1.5095617453164678e-05,-5.078651156509295e-06,1.8129698674035604,-0.6099413649274298
26,911.234951486,0.5000160434366443,911.2349481349787,1.6043436644297415e-05,-3.3510212915643933e-06,1.9268020864964086,-0.4024545962086742
27,947.079183096,0.5000140729132122,947.0792089748029,1.4072913212204163e-05,2.5878802944134804e-05,1.690144022228308,3.108020595232761
28,959.459168807,0.5000161909786062,959.4591736580659,1.6190978606167583e-05,4.851065909861063e-06,1.9445217413484295,0.5826085846871387
29,976.178502421,0.5000171161686499,976.1784966999189,1.7116168649855545e-05,-5.721081038245757e-06,2.0556362205032004,-0.68709660691216
30,990.223917804,0.5000144427616576,990.2239173240841,1.4442761657629255e-05,-4.799159114554641e-07,1.73456248269487,-0.05763746259838265
31,994.404590571,0.5000127394511781,994.4045962791238,1.2739451178078731e-05,5.708123808290111e-06,1.5299964499480332,0.6855404554299508
32,1012.410042516,0.5000130056919901,1012.4100304640584,1.3005691990142232e-05,-1.2051941553181678e-05,1.5619717282857197,-1.4474271719867016
33,1031.833180297,0.5000202214097886,1031.8331772280615,2.0221409788634404e-05,-3.068938440264901e-06,2.428572844864184,-0.3685767034292672
34,1059.133769107,0.5000149558119237,1059.133759552975,1.495581192367812e-05,-9.554024927638238e-06,1.7961793510141566,-1.1474296669196105
35,1090.863191026,0.5000155259969477,1090.8631907853323,1.5525996947651777e-05,-2.4066775949904695e-07,1.8646580515718674,-0.0289039780837734
36,1156.621567834,0.5000148809720878,1156.6215559290215,1.4880972087794042e-05,-1.1904978464372107e-05,1.7871911550850914,-1.4297770392605011
37,1179.701223502,0.5000191049312555,1179.7012119941396,1.910493125545365e-05,-1.1507860335768783e-05,2.2944847928491083,-1.3820835147530564
38,1211.416115893,0.5000137346590288,1211.4161037604015,1.3734659028763474e-05,-1.213259861287952e-05,1.6495200037670688,-1.4571140111821994
39,1251.659832004,0.5000149220319107,1251.6598374719072,1.4922031910669098e-05,5.467907158163143e-06,1.7921224023072975,0.6566906551697094
40,1260.344548316,0.5000105294920846,1260.3445519721242,1.0529492084576653e-05,3.6561241358867846e-06,1.2645823814513646,0.4390971691230834
41,1302.346742379,0.4999967485794906,1302.3467415075022,-3.251420509386982e-06,-8.714978321222588e-07,-0.3904926332470587,-0.10466609358956347
42,1325.98196963,0.5000039231105357,1325.9819641582521,3.923110535652974e-06,-5.47174795428873e-06,0.47116199186282415,-0.6571519312761114
43,1385.663777011,0.5000039494036312,1385.6637807581405,3.949403631242632e-06,3.7471404539246578e-06,0.4743197686263588,0.4500281457828086
44,1387.326647663,0.4999833443621865,1387.326659538687,-1.6655637813500768e-05,1.1875687050633132e-05,-2.0003268877175886,1.4262591672259737
45,1390.705490286,0.5000041415910604,1390.7054945676516,4.1415910604358785e-06,4.281651627024985e-06,0.49740130332357424,0.5142224494360366
46,1411.965653462,0.5000053666695519,1411.965648430732,5.366669551865044e-06,-5.031268074162654e-06,0.6445321111263161,-0.6042507000185126
47,1509.280419363,0.5000033355336315,1509.2804159992631,3.3355336315210593e-06,-3.363736823303043e-06,0.400594542384293,-0.4039817199557954
48,1519.741009494,0.49999564049997186,1519.7410101330843,-4.35950002813934e-06,6.390841917891521e-07,-0.5235719713011581,0.07675342767809677
49,1554.15651911,0.5000001238209753,1554.156519016365,1.2382097525076574e-07,-9.363498065795284e-08,0.014870786026384038,-0.011245475648443607
50,1563.385400958,0.4999964718650012,1563.385410734784,-3.5281349988203203e-06,9.77678405433835e-06,-0.42372579066993915,1.1741828345624332
51,1571.045381486,0.4999922235223469,1571.0453678602935,-7.776477653098635e-06,-1.3625706515085767e-05,-0.9339478629043648,-1.6364349063943775
